Best Selling Games Ever,,
Game,Year,Sales
Tetris,1984,170 Millions
Minecraft ,2009,122 Millions
Wii Sports,2006,"82,78 Millions"
Grand Theft Auto V ,2013,75 Millions
Mario Kart Wii,2008,"36,38 Millions"
Wii Sports Resort,2009,"32,8 Millions"
Super Mario Bros,2006,"30,79 Millions"
The Elder Scrolls V: Skyrim,2011, Millions
Diablo III,2012,30 Millions
New Super Mario Bros. ,2009,"29,32 Millions"
Wii Play,2006,"28,02 Millions"
Grand Theft Auto: San Andreas,2004,"27,5 Millions"
Call of Duty: Modern Warfare 3,2011,"26,5 Millions"
Call of Duty: Black Ops,2010,"26,2 Millions"
Grand Theft Auto IV,2008,25 Millions
Overwatch,2016,25 Millions
Call of Duty: Black Ops II,2012,"24,2 Millions"
Kinect Adventures,2010,24 Millions
Nintendogs ,2005,"23,96 Millions"
Pokemon Red and Blue,1996,"23,64 Millions"
Mario Kart DS,2005,"23,59 Millions"
Pokemon Gold and Silver,1999,23 Millions
Wii Fit,2007,"22,67 Millions"
Call of Duty: Modern Warfare 2,2009,"22,2 Millions"
Wii Fit Plus 2009,2009,"21,11 Millions"
Super Mario World,1990,"20,6 Millions"
Battlefield 3,2011,20 Millions
Grand Theft Auto: Vice City ,2002,20 Millions
The Sims 2 ,2004,20 Millions
Terraria ,2011,20 Millions
Brain Age,2005,"19,01 Millions"
Call of Duty: Ghosts,2013,19 Millions
Super Mario Land,1989,"18,06 Millions"
Pokemon Diamond and Pearl ,2006,"17,63 Millions"
Grand Theft Auto III,2001,"17,63 Millions"
Super Mario Bros. 3 ,1988,17 Millions
Pokemon Ruby and Sapphire ,2002,"16,22 Millions"
Pokemon X and Y,2013,"16,06 Millions"
Need for Speed: Most Wanted,2005,16 Millions
The Sims ,2000,16 Millions
Call of Duty 4: Modern Warfare,2007,"15,7 Millions"
Call of Duty: World at War,2008,"15,7 Millions"
Pokemon Black and White,2010,"15,6 Millions"
Lemmings ,1991,15 Millions
Red Dead Redemption,2010,15 Millions
Gran Tourismo 3,2001,"14,89 Millions"
Super Mario Land,1989,14 Millions
Battlefield 4,2013,"13,87 Millions"
